#CME
# 0.60           aStretch
# -6.50           LatitudeCme
# +1           iHelicity
# 339.60           OrientationCme
# 0.70           ApexHeight
# 111.50           LongitudeCme
# GL           TypeCme
# 0.50           Radius
# T           DoAddFluxRope
# 19.5           BStrength
# T           UseCme
# EEGGL File: ./output/restartRunDesignFiles/CR2192/EEGGLParamsCR2192_updated_2022_10_28.txt

selected run IDs = 1-30

#START
ID   params
1	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=0.5576 	 PoyntingFluxPerBSi=6.758496e+05	 LperpTimesSqrtBSi=1.751030e+05 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
12	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=1.1459 	 PoyntingFluxPerBSi=6.930572e+05	 LperpTimesSqrtBSi=2.587546e+05 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
13	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=1.1620 	 PoyntingFluxPerBSi=3.168700e+05	 LperpTimesSqrtBSi=1.195175e+05 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
14	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=1.2458 	 PoyntingFluxPerBSi=4.022515e+05	 LperpTimesSqrtBSi=1.970642e+05 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
15	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=1.3112 	 PoyntingFluxPerBSi=4.918417e+05	 LperpTimesSqrtBSi=1.029923e+05 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
16	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=1.3940 	 PoyntingFluxPerBSi=5.373241e+05	 LperpTimesSqrtBSi=2.344113e+05 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
17	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=1.4559 	 PoyntingFluxPerBSi=6.382544e+05	 LperpTimesSqrtBSi=1.478767e+05 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
18	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=1.4834 	 PoyntingFluxPerBSi=3.801995e+05	 LperpTimesSqrtBSi=4.124431e+04 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
19	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=1.5759 	 PoyntingFluxPerBSi=4.694375e+05	 LperpTimesSqrtBSi=2.836227e+05 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
20	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=1.6721 	 PoyntingFluxPerBSi=5.710848e+05	 LperpTimesSqrtBSi=1.831079e+05 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
21	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=1.7389 	 PoyntingFluxPerBSi=3.475122e+05	 LperpTimesSqrtBSi=2.228645e+05 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
22	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=1.8271 	 PoyntingFluxPerBSi=6.148726e+05	 LperpTimesSqrtBSi=2.968818e+05 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
23	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=1.8588 	 PoyntingFluxPerBSi=5.263714e+05	 LperpTimesSqrtBSi=7.335230e+04 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
24	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=1.9194 	 PoyntingFluxPerBSi=4.178659e+05	 LperpTimesSqrtBSi=1.325860e+05 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
25	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=1.9652 	 PoyntingFluxPerBSi=3.077471e+05	 LperpTimesSqrtBSi=2.558317e+05 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
26	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=2.0570 	 PoyntingFluxPerBSi=3.288168e+05	 LperpTimesSqrtBSi=5.785179e+04 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
27	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=2.1114 	 PoyntingFluxPerBSi=5.909306e+05	 LperpTimesSqrtBSi=1.134839e+05 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
28	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=2.1565 	 PoyntingFluxPerBSi=3.719023e+05	 LperpTimesSqrtBSi=1.773517e+05 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
29	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=2.3086 	 PoyntingFluxPerBSi=4.397077e+05	 LperpTimesSqrtBSi=2.131365e+05 	  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
30	 map=ADAPT_GONG_CR2192.fits 	 model=AWSoM2T 	 FactorB0=2.3541 	 PoyntingFluxPerBSi=3.008000e+05	 LperpTimesSqrtBSi=9.817332e+04		  LonCME_min=91.5	LonCME_max=131.5	LatCME_min=-26.5	LatCME_max=13.5		realization=[4]
